#,Entry_ET,Direction,Score,ATR,Entry_Price,TP_Level,SL_Level,Exit_Price,PnL_Pts,PnL_USD,Exit_Reason,Entry_UTC,Exit_UTC
157,2025-12-03 10:03,SHORT,4,27.89,25552.00,25529.69,25585.47,25529.94,22.06,42.89,TP,2025-12-03 15:03,2025-12-03 15:06
158,2025-12-03 10:36,SHORT,4,24.48,25588.75,25569.16,25618.13,25569.41,19.34,37.43,TP,2025-12-03 15:36,2025-12-03 15:38
159,2025-12-03 11:32,SHORT,4,17.86,25591.75,25577.46,25613.18,25613.43,-21.68,-44.60,SL,2025-12-03 16:32,2025-12-03 16:34
160,2025-12-03 12:22,SHORT,4,13.12,25623.00,25612.50,25638.75,25612.75,10.25,19.26,TP,2025-12-03 17:22,2025-12-03 17:30
161,2025-12-03 13:41,SHORT,5,6.91,25638.50,25632.97,25646.79,25647.04,-8.54,-18.33,SL,2025-12-03 18:41,2025-12-03 18:41
162,2025-12-03 13:45,SHORT,4,6.48,25651.75,25646.56,25659.53,25646.81,4.94,8.63,TP,2025-12-03 18:45,2025-12-03 18:45
163,2025-12-03 14:28,SHORT,4,6.20,25651.00,25646.04,25658.44,25646.29,4.71,8.17,TP,2025-12-03 19:28,2025-12-03 19:29
164,2025-12-03 14:51,SHORT,4,5.45,25661.75,25657.39,25668.29,25657.64,4.11,6.97,TP,2025-12-03 19:51,2025-12-03 19:51
165,2025-12-03 14:58,SHORT,4,5.62,25669.25,25664.75,25676.00,25665.00,4.25,7.26,TP,2025-12-03 19:58,2025-12-03 20:04
166,2025-12-04 09:58,LONG,4,24.64,25555.50,25575.21,25525.93,25574.96,19.46,37.69,TP,2025-12-04 14:58,2025-12-04 15:00
167,2025-12-04 11:05,LONG,4,16.12,25533.75,25546.65,25514.40,25514.15,-19.60,-40.44,SL,2025-12-04 16:05,2025-12-04 16:05
168,2025-12-04 12:00,SHORT,4,12.18,25641.50,25631.76,25656.11,25632.01,9.49,17.75,TP,2025-12-04 17:00,2025-12-04 17:05
169,2025-12-04 14:20,LONG,4,10.95,25545.00,25553.76,25531.86,25531.61,-13.39,-28.01,SL,2025-12-04 19:20,2025-12-04 19:20
170,2025-12-04 14:24,LONG,5,16.46,25501.50,25514.67,25481.74,25514.42,12.92,24.60,TP,2025-12-04 19:24,2025-12-04 19:24
171,2025-12-04 15:53,SHORT,4,9.09,25610.00,25602.73,25620.91,25602.98,7.02,12.80,TP,2025-12-04 20:53,2025-12-04 20:54
172,2025-12-05 09:56,SHORT,4,20.25,25795.00,25778.80,25819.30,25779.05,15.95,30.66,TP,2025-12-05 14:56,2025-12-05 14:56
173,2025-12-05 10:04,SHORT,4,21.04,25805.25,25788.42,25830.49,25830.74,-25.49,-52.23,SL,2025-12-05 15:04,2025-12-05 15:06
174,2025-12-05 10:14,SHORT,4,18.04,25854.25,25839.82,25875.89,25840.07,14.18,27.12,TP,2025-12-05 15:14,2025-12-05 15:19
